metric_id,domain,metric_name,unit,frequency,source_ids,calculation,comparability_status,notes
adu_building_permit_units,accessory_dwelling_units,ADU building-permit units,housing units,annual,CA_HCD_APR_TABLE_A2,county sum of HCD APR Table A2 reported units,comparable_within_series,"Entitlements, building permits, and completions are distinct production stages."
adu_completed_units,accessory_dwelling_units,ADU completed units,housing units,annual,CA_HCD_APR_TABLE_A2,county sum of HCD APR Table A2 reported units,comparable_within_series,"Entitlements, building permits, and completions are distinct production stages."
adu_entitled_units,accessory_dwelling_units,ADU entitled units,housing units,annual,CA_HCD_APR_TABLE_A2,county sum of HCD APR Table A2 reported units,comparable_within_series,"Entitlements, building permits, and completions are distinct production stages."
annual_completion_to_permit_flow_pct,production_pipeline,Annual completion-to-permit flow ratio,percent,annual,CA_HCD_APR_TABLE_A2,completed units reported in year / building-permit units reported in same year * 100,comparable_within_series,"This is a same-year flow ratio, not a cohort completion probability. Permits and completions can refer to different projects."
application_approved_projects,housing_applications,Application records reported approved,records,annual,CA_HCD_APR_TABLE_A,county sum or count of HCD APR Table A records,status_field_incomplete_before_2021,Application status is sparsely populated before 2021; a record is not necessarily a unique project.
application_approved_units,housing_applications,Units approved in residential applications,housing units,annual,CA_HCD_APR_TABLE_A,county sum or count of HCD APR Table A records,comparable_within_series,HCD APR application-stage administrative data aggregated to county.
application_decision_approval_share_pct,housing_applications,Approved share of decided application records,percent,annual,CA_HCD_APR_TABLE_A,approved application records / (approved + disapproved records) * 100; pending and withdrawn excluded,status_field_incomplete_before_2021,Application status is sparsely populated before 2021; a record is not necessarily a unique project.
application_disapproved_units,housing_applications,Units disapproved in residential applications,housing units,annual,CA_HCD_APR_TABLE_A,county sum or count of HCD APR Table A records,comparable_within_series,HCD APR application-stage administrative data aggregated to county.
application_pending_projects,housing_applications,Application records reported pending,records,annual,CA_HCD_APR_TABLE_A,county sum or count of HCD APR Table A records,status_field_incomplete_before_2021,Application status is sparsely populated before 2021; a record is not necessarily a unique project.
application_project_records,housing_applications,Residential application records,records,annual,CA_HCD_APR_TABLE_A,county sum or count of HCD APR Table A records,comparable_within_series,Application status is sparsely populated before 2021; a record is not necessarily a unique project.
application_proposed_units,housing_applications,Units proposed in residential applications,housing units,annual,CA_HCD_APR_TABLE_A,county sum or count of HCD APR Table A records,comparable_within_series,HCD APR application-stage administrative data aggregated to county.
building_permit_units,production_pipeline,Building-permit units,housing units,annual,CA_HCD_APR_TABLE_A2,county sum of HCD APR Table A2 reported units,comparable_within_series,"Entitlements, building permits, and completions are distinct production stages."
completed_units,production_pipeline,Completed units / certificates of occupancy,housing units,annual,CA_HCD_APR_TABLE_A2,county sum of HCD APR Table A2 reported units,comparable_within_series,"Entitlements, building permits, and completions are distinct production stages."
deterministically_matched_projects,permitting_timelines,Deterministically matched projects,projects,multi-year matched-project summary,CA_HCD_APR_TABLE_A;CA_HCD_APR_TABLE_A2,count of high-confidence exact identifier matches,coverage_diagnostic,Coverage is published with the medians; unmatched records are not imputed.
entitled_units,production_pipeline,Entitled units,housing units,annual,CA_HCD_APR_TABLE_A2,county sum of HCD APR Table A2 reported units,comparable_within_series,"Entitlements, building permits, and completions are distinct production stages."
housing_element_compliance_share_pct,housing_element_compliance,Share of housing elements in compliance,percent,current status snapshot,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,jurisdictions with HCD compliance status In / all county jurisdictions * 100,current_status_snapshot,Current administrative status can change between refreshes; this is not a historical compliance series.
housing_element_jurisdictions,housing_element_compliance,Housing-element jurisdictions,jurisdictions,current status snapshot,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,count of current HCD compliance records,current_status_snapshot,Current administrative status can change between refreshes; this is not a historical compliance series.
housing_elements_in_compliance,housing_element_compliance,Housing elements in compliance,jurisdictions,current status snapshot,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,count of current HCD compliance records,current_status_snapshot,Current administrative status can change between refreshes; this is not a historical compliance series.
housing_elements_out_of_compliance,housing_element_compliance,Housing elements out of compliance,jurisdictions,current status snapshot,CA_HCD_HOUSING_ELEMENT_COMPLIANCE,count of current HCD compliance records,current_status_snapshot,Current administrative status can change between refreshes; this is not a historical compliance series.
lower_intensity_share_of_residential_zoning_pct,zoning_and_rezoning,Lower-intensity categories as share of residential-labeled mapped area,percent,irregular compiled inventory,CA_LCI_STATEWIDE_ZONING,county sum of dataset-provided polygon area and transparent category shares,single_compiled_inventory_not_current_policy_score,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
mapped_zoning_area_sq_km,zoning_and_rezoning,Mapped zoning polygon area,square kilometers,irregular compiled inventory,CA_LCI_STATEWIDE_ZONING,county sum of dataset-provided polygon area and transparent category shares,single_compiled_inventory_not_current_policy_score,"Compiled zoning categories are descriptive, source vintages vary by jurisdiction, and mapped area is not legal development capacity."
