indicator_id,metric_id,analysis_label,analysis_class,primary_metric,comparison_basis,rank_direction,change_method,stable_threshold,benchmark_method,display_precision,interpretation_note
L1,unemployment_rate,Unemployment rate,rate,Yes,level,lower_is_better,percentage_point,0.10,median_available_counties,1,Residence-based and not seasonally adjusted; county differences are descriptive rather than causal.
L1,unemployed_people,Unemployed residents,level,No,year_change,lower_is_better,percent,0.50,median_available_counties,0,County totals reflect resident labor-force estimates and should be compared by change rather than raw size.
L1,employed_people,Employed residents,level,No,year_change,higher_is_better,percent,0.50,median_available_counties,0,County totals reflect residence rather than workplace and should be compared by growth rather than raw size.
L1,labor_force,Labor force,level,No,none,neutral,percent,0.50,,0,Labor-force growth can reflect population and participation changes; no normative county rank is assigned.
L2,average_monthly_covered_employment,Average monthly covered employment,level,Yes,year_change,higher_is_better,percent,0.50,median_available_counties,0,Establishment-location jobs are compared by growth rather than raw county size.
L2,covered_establishments,Covered establishments,level,No,year_change,higher_is_better,percent,0.50,median_available_counties,0,Establishment counts are compared by growth rather than raw county size.
L2,average_weekly_wage,Average weekly wage,currency,No,level,higher_is_better,percent,0.50,median_available_counties,0,Current-dollar wages are not inflation adjusted and do not measure household income or purchasing power.
O1,real_gdp,Real GDP,level,Yes,year_change,higher_is_better,percent,0.50,median_available_counties,0,Production-location output is compared by real growth rather than raw county size.
H1,renter_cost_burden_30_plus_pct,Renter cost burden,rate,Yes,level,lower_is_better,percentage_point,0.20,median_available_counties,1,ACS five-year estimate; compare margins of error before treating small differences as meaningful.
H1,renter_severe_cost_burden_50_plus_pct,Severe renter cost burden,rate,No,level,lower_is_better,percentage_point,0.20,median_available_counties,1,ACS five-year estimate; derived ratios do not receive fabricated margins of error.
H1,owner_cost_burden_30_plus_pct,Owner cost burden,rate,No,level,lower_is_better,percentage_point,0.20,median_available_counties,1,ACS five-year estimate for owners with and without mortgages.
H1,owner_severe_cost_burden_50_plus_pct,Severe owner cost burden,rate,No,level,lower_is_better,percentage_point,0.20,median_available_counties,1,ACS five-year estimate; derived ratios do not receive fabricated margins of error.
E1,bachelors_degree_or_higher_pct,Bachelor's degree or higher,rate,Yes,level,higher_is_better,percentage_point,0.20,median_available_counties,1,Attainment describes residents age 25 and older and is not a direct measure of local institution performance.
E2,college_going_rate_12mo,College-going rate within 12 months,rate,Yes,level,higher_is_better,percentage_point,0.20,median_available_counties,1,CDE high-school-location measure; blocked student records can affect National Student Clearinghouse matches.
E2,ag_ready_share,A-G ready share,rate,No,level,higher_is_better,percentage_point,0.20,median_available_counties,1,A-G completers divided by all high-school completers for the same geography and academic year.
E2,high_school_completers,High-school completers,level,No,none,neutral,percent,0.50,,0,Scale-dependent student count; no raw county rank is assigned.
E2,enrolled_in_college_12mo,College enrollees within 12 months,level,No,none,neutral,percent,0.50,,0,Scale-dependent matched student count; use the college-going rate for county comparison.
E2,enrolled_uc_12mo,UC enrollees within 12 months,level,No,none,neutral,percent,0.50,,0,Scale-dependent matched student count; no raw county rank is assigned.
E2,enrolled_csu_12mo,CSU enrollees within 12 months,level,No,none,neutral,percent,0.50,,0,Scale-dependent matched student count; no raw county rank is assigned.
E2,enrolled_ccc_12mo,California Community College enrollees within 12 months,level,No,none,neutral,percent,0.50,,0,Scale-dependent matched student count; no raw county rank is assigned.
E3,postsecondary_access_rate,Postsecondary access rate,rate,No,level,higher_is_better,percentage_point,0.20,median_available_counties,1,Planned logical metric; source and cohort definition must be retained when activated.
E3,first_year_persistence_rate,First-year persistence rate,rate,No,level,higher_is_better,percentage_point,0.20,median_available_counties,1,Planned cohort metric requiring institution and sector context.
E3,first_year_stopout_rate,First-year stopout rate,rate,No,level,lower_is_better,percentage_point,0.20,median_available_counties,1,Activate only when the source defines a mutually exclusive cohort outcome; do not assume stopout equals 100 minus persistence.
E3,completion_rate_150pct,Completion rate within 150 percent of normal time,rate,Yes,level,higher_is_better,percentage_point,0.20,median_available_counties,1,Planned cohort metric; institution selectivity and student mix are important context.
E3,average_net_price,Average net price,currency,No,level,lower_is_better,percent,0.50,median_available_counties,0,Planned affordability metric; compare within sector and credential level.
E4,employment_rate_after_graduation,Employment rate after graduation,rate,Yes,level,higher_is_better,percentage_point,0.20,median_available_counties,1,Planned field-of-study outcome requiring a defined cohort window and geography basis.
E4,unemployment_rate_after_graduation,Unemployment rate after graduation,rate,No,level,lower_is_better,percentage_point,0.20,median_available_counties,1,Planned field-of-study outcome; absence of a wage record must not be labeled unemployment.
E4,median_earnings_after_graduation,Median earnings after graduation,currency,No,level,higher_is_better,percent,0.50,median_available_counties,0,Planned outcome metric requiring field of study cohort year and inflation basis.
